"bin bottom",azimuth,altitude,"distance (m)",latitude,longitude,"elevation (m amsl)"
40.625,40.812328,11.998700,5637.409935,37.270833,-118.242778,2387.000000
40.75,41.022756,12.058271,5614.838707,37.270556,-118.242778,2388.000000
40.875,41.197568,12.058942,5671.772369,37.270833,-118.242222,2400.000000
41,41.216138,12.123151,5632.795218,37.270556,-118.242500,2398.000000
41.125,41.428545,12.153015,5609.742225,37.270278,-118.242500,2396.000000
41.25,41.428545,12.153015,5609.742225,37.270278,-118.242500,2396.000000
41.375,41.620968,12.207419,5627.624935,37.270278,-118.242222,2405.000000
41.5,41.620968,12.207419,5627.624935,37.270278,-118.242222,2405.000000
41.625,41.835343,12.217363,5604.292743,37.270000,-118.242222,2401.000000
41.75,42.051524,12.237252,5581.248943,37.269722,-118.242222,2398.000000
41.875,42.051524,12.237252,5581.248943,37.269722,-118.242222,2398.000000
42,42.296325,12.303683,5518.938703,37.269167,-118.242500,2391.000000
42.125,42.296325,12.303683,5518.938703,37.269167,-118.242500,2391.000000
42.25,42.489368,12.327556,5536.463068,37.269167,-118.242222,2397.000000
42.375,42.681225,12.341065,5553.833474,37.269167,-118.241944,2402.000000
42.5,42.711065,12.347617,5513.655420,37.268889,-118.242222,2394.000000
42.625,42.903041,12.350846,5530.880024,37.268889,-118.241944,2398.000000
42.75,42.903041,12.350846,5530.880024,37.268889,-118.241944,2398.000000
42.875,43.093828,12.353922,5548.163584,37.268889,-118.241667,2402.000000
43,43.283432,12.356845,5565.505550,37.268889,-118.241389,2406.000000
43.125,43.283432,12.356845,5565.505550,37.268889,-118.241389,2406.000000
43.25,43.283432,12.356845,5565.505550,37.268889,-118.241389,2406.000000
43.375,43.659118,12.362248,5600.362531,37.268889,-118.240833,2414.000000
43.5,43.659118,12.362248,5600.362531,37.268889,-118.240833,2414.000000
43.625,43.921586,12.377830,5537.651186,37.268333,-118.241111,2402.000000
43.75,43.921586,12.377830,5537.651186,37.268333,-118.241111,2402.000000
43.875,43.921586,12.377830,5537.651186,37.268333,-118.241111,2402.000000
44,44.254267,12.395659,5613.412944,37.268611,-118.240278,2420.000000
44.125,44.254267,12.395659,5613.412944,37.268611,-118.240278,2420.000000
44.25,44.480191,12.414276,5591.247350,37.268333,-118.240278,2417.000000
44.375,44.480191,12.414276,5591.247350,37.268333,-118.240278,2417.000000
44.5,44.480191,12.414276,5591.247350,37.268333,-118.240278,2417.000000
44.625,44.480191,12.414276,5591.247350,37.268333,-118.240278,2417.000000
44.75,44.707943,12.402711,5568.518489,37.268056,-118.240278,2411.000000
44.875,44.707943,12.402711,5568.518489,37.268056,-118.240278,2411.000000
45,44.891815,12.384337,5585.917011,37.268056,-118.240000,2413.000000
45.125,44.982708,12.363362,5683.654094,37.268611,-118.239167,2432.000000
45.25,45.161976,12.345297,5701.134935,37.268611,-118.238889,2434.000000
45.375,45.208684,12.341485,5660.897871,37.268333,-118.239167,2425.000000
45.5,45.387942,12.323267,5678.446339,37.268333,-118.238889,2427.000000
45.625,45.693074,12.320252,5754.538495,37.268611,-118.238056,2443.000000
45.75,45.693074,12.320252,5754.538495,37.268611,-118.238056,2443.000000
45.875,45.693074,12.320252,5754.538495,37.268611,-118.238056,2443.000000
46,45.867894,12.311780,5772.443584,37.268611,-118.237778,2446.000000
46.125,46.093735,12.279580,5749.808330,37.268333,-118.237778,2438.000000
46.25,46.093735,12.279580,5749.808330,37.268333,-118.237778,2438.000000
46.375,46.267409,12.203021,5766.341605,37.268333,-118.237500,2434.000000
46.5,46.321301,12.178496,5725.774520,37.268056,-118.237778,2423.000000
46.625,46.439988,12.126791,5782.935438,37.268333,-118.237222,2430.000000
46.75,46.611479,12.070211,5800.008814,37.268333,-118.236944,2428.000000
